年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2006,Ｊ２,第２９節第１日,07/22(土),14:04,札幌,2-2,草津,2,2,0,△,札幌厚別,"6,869",スカイパーフェクＴＶ！,1
2006,Ｊ２,第３０節第１日,07/26(水),19:04,東京Ｖ,1-2,札幌,1,2,2,〇,味スタ,"5,455",スカイパーフェクＴＶ！／日本テレビ（録）,3
2006,Ｊ２,第３１節第１日,07/29(土),14:04,札幌,1-5,湘南,1,5,2,●,札幌厚別,"7,600",スカイパーフェクＴＶ！,0
2006,Ｊ２,第３２節第１日,08/06(日),18:04,徳島,0-0,札幌,0,0,0,△,鳴門,"3,360",スカイパーフェクＴＶ！,1
2006,Ｊ２,第３３節第１日,08/11(金),19:04,愛媛,1-0,札幌,1,0,1,●,愛媛陸,"3,671",スカイパーフェクＴＶ！,0
2006,Ｊ２,第３４節第１日,08/19(土),19:04,札幌,3-1,仙台,3,1,1,〇,札幌厚別,"7,489",スカイパーフェクＴＶ！,3
2006,Ｊ２,第３６節第１日,08/26(土),14:04,札幌,1-2,横浜FC,1,2,2,●,札幌厚別,"12,185",スカイパーフェクＴＶ！,0
2006,Ｊ２,第３７節第１日,09/02(土),19:04,山形,0-0,札幌,0,0,0,△,山形県,"5,906",スカイパーフェクＴＶ！,1
2006,Ｊ２,第３８節第２日,09/09(土),19:04,神戸,1-1,札幌,1,1,0,△,神戸ウイ,"9,687",スカイパーフェクＴＶ！,1
2006,Ｊ２,第３９節第１日,09/13(水),19:04,札幌,3-1,水戸,3,1,1,〇,札幌厚別,"5,364",スカイパーフェクＴＶ！,3
2006,Ｊ２,第４０節第１日,09/16(土),19:04,仙台,0-0,札幌,0,0,0,△,ユアスタ,"13,914",スカイパーフェクＴＶ！,1
2006,Ｊ２,第４１節第１日,09/23(土・祝),14:04,湘南,1-6,札幌,1,6,2,〇,平塚,"5,156",スカイパーフェクＴＶ！,3
2006,Ｊ２,第４２節第１日,09/27(水),19:04,札幌,6-0,徳島,6,0,1,〇,札幌厚別,"3,896",スカイパーフェクＴＶ！,3
2007,Ｊ２,第２６節第２日,07/07(土),14:03,札幌,1-1,山形,1,1,0,△,札幌厚別,"8,378",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2007,Ｊ２,第２７節第１日,07/11(水),19:03,札幌,2-1,福岡,2,1,1,〇,札幌厚別,"6,220",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）,3
2007,Ｊ２,第２９節第１日,07/21(土),16:03,札幌,2-2,東京Ｖ,2,2,0,△,札幌厚別,"8,720",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2007,Ｊ２,第３０節第１日,07/25(水),19:04,仙台,0-2,札幌,0,2,2,〇,ユアスタ,"14,517",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,3
2007,Ｊ２,第３１節第１日,07/28(土),16:03,札幌,1-1,鳥栖,1,1,0,△,札幌厚別,"7,496",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2007,Ｊ２,第３２節第２日,08/05(日),19:03,草津,0-3,札幌,0,3,2,〇,群馬陸,"5,532",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ,3
2007,Ｊ２,第３３節第１日,08/11(土),16:05,札幌,3-0,Ｃ大阪,3,0,1,〇,札幌ド,"17,453",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,3
2007,Ｊ２,第３４節第１日,08/16(木),17:20,京都,2-3,札幌,2,3,2,〇,西京極,"5,809",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都,3
2007,Ｊ２,第３５節第１日,08/19(日),14:04,札幌,1-2,湘南,1,2,2,●,室蘭,"6,591",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,0
2007,Ｊ２,第３６節第３日,08/26(日),18:04,山形,0-1,札幌,0,1,2,〇,ＮＤスタ,"4,069",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,3
2007,Ｊ２,第３７節第１日,08/30(木),19:04,水戸,2-1,札幌,2,1,1,●,笠松,"1,779",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,0
2007,Ｊ２,第３８節第１日,09/02(日),14:03,札幌,1-1,愛媛,1,1,0,△,函館,"6,464",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2007,Ｊ２,第２８節第４日,09/05(水),19:04,徳島,3-0,札幌,3,0,1,●,鳴門大塚,"1,802",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,0
2007,Ｊ２,第４０節第１日,09/15(土),14:04,札幌,0-1,仙台,0,1,2,●,札幌ド,"22,303",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ札幌,0
2007,Ｊ２,第４１節第１日,09/22(土),13:03,湘南,3-0,札幌,3,0,1,●,平塚,"5,370",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,0
2007,Ｊ２,第４２節第１日,09/26(水),19:03,札幌,3-0,山形,3,0,1,〇,札幌厚別,"5,940",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,3
2007,Ｊ２,第４３節第２日,09/30(日),13:03,東京Ｖ,5-1,札幌,5,1,1,●,味スタ,"11,833",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）,0
2008,Ｊ１,第１５節第１日,07/05(土),14:03,札幌,2-2,清水,2,2,0,△,札幌厚別,"10,282",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2008,Ｊ１,第１６節第２日,07/13(日),19:03,千葉,0-3,札幌,0,3,2,〇,フクアリ,"12,494",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,3
2008,Ｊ１,第１７節第１日,07/16(水),19:03,札幌,0-0,大分,0,0,0,△,札幌厚別,"9,512",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2008,Ｊ１,第１８節第１日,07/20(日),14:04,札幌,1-1,神戸,1,1,0,△,札幌厚別,"12,222",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,1
2008,Ｊ１,第１９節第２日,07/27(日),18:03,新潟,2-1,札幌,2,1,1,●,東北電ス,"35,388",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,0
2008,Ｊ１,第２０節第１日,08/09(土),16:04,札幌,1-2,大宮,1,2,2,●,札幌厚別,"9,682",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）,0
2008,Ｊ１,第２１節第２日,08/17(日),14:03,札幌,1-2,京都,1,2,2,●,札幌ド,"16,338",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）,0
2008,Ｊ１,第２２節第２日,08/24(日),18:33,横浜FM,1-0,札幌,1,0,1,●,ニッパ球,"9,583",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,0
2008,Ｊ１,第２３節第１日,08/27(水),19:05,札幌,3-3,Ｇ大阪,3,3,0,△,札幌厚別,"7,010",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ,1
2008,Ｊ１,第２４節第１日,09/13(土),15:03,清水,3-1,札幌,3,1,1,●,日本平,"15,395",スカパースカチャン／ｅ２スカチャン,0
2008,Ｊ１,第２５節第１日,09/20(土),14:06,札幌,2-3,千葉,2,3,2,●,札幌厚別,"9,018",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌,0
2008,Ｊ１,第２６節第１日,09/23(火・祝),13:05,大分,3-2,札幌,3,2,1,●,鴨池,"9,376",スカパースカチャン／ｅ２スカチャンＨＤ,0
2008,Ｊ１,第２７節第２日,09/28(日),14:05,札幌,1-2,Ｆ東京,1,2,2,●,札幌厚別,"8,741",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌,0
2009,Ｊ２,第２５節第２日,07/04(土),14:03,札幌,0-1,水戸,0,1,2,●,札幌ド,"22,707",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第２６節第１日,07/08(水),19:04,愛媛,1-2,札幌,1,2,2,〇,ニンスタ,"1,744",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第２７節第１日,07/11(土),14:03,札幌,0-1,熊本,0,1,2,●,札幌厚別,"6,376",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第２８節第２日,07/18(土),14:03,札幌,1-2,草津,1,2,2,●,函館,"5,353",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第２９節第１日,07/22(水),19:05,富山,0-0,札幌,0,0,0,△,富山,"3,008",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第３０節第１日,07/25(土),14:03,札幌,4-2,岡山,4,2,1,〇,札幌厚別,"5,742",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第３１節第２日,08/02(日),18:04,Ｃ大阪,3-0,札幌,3,0,1,●,長居,"16,575",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第３２節第１日,08/05(水),19:03,札幌,3-0,福岡,3,0,1,〇,札幌厚別,"7,188",スカパースカチャン／ｅ２スカチャンＨＤ,3
2009,Ｊ２,第３３節第１日,08/09(日),18:03,東京Ｖ,1-2,札幌,1,2,2,〇,味スタ,"6,591",スカパースカチャン／ｅ２スカチャン／日本テレビ（録）,3
2009,Ｊ２,第３４節第２日,08/16(日),18:04,岐阜,0-2,札幌,0,2,2,〇,長良川,"4,070",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第３５節第１日,08/22(土),14:04,札幌,3-3,鳥栖,3,3,0,△,札幌ド,"17,292",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第３６節第２日,08/30(日),18:04,草津,2-5,札幌,2,5,2,〇,正田スタ,"3,680",スカパースカチャン／ｅ２スカチャン／群馬テレビ（録）,3
2009,Ｊ２,第３７節第１日,09/02(水),19:03,札幌,1-1,水戸,1,1,0,△,札幌厚別,"7,042",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第３８節第１日,09/06(日),14:03,札幌,3-2,愛媛,3,2,1,〇,札幌厚別,"7,613",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第３９節第２日,09/13(日),16:03,甲府,2-1,札幌,2,1,1,●,小瀬,"11,553",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第４０節第２日,09/20(日),13:03,札幌,1-0,福岡,1,0,1,〇,室蘭,"5,824",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第４１節第１日,09/23(水・祝),19:03,岡山,0-1,札幌,0,1,2,〇,岡山,"8,367",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第４２節第２日,09/27(日),13:05,札幌,2-0,湘南,2,0,1,〇,札幌厚別,"8,935",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌,3
2010,Ｊ２,第１８節第２日,07/18(日),19:03,千葉,0-3,札幌,0,3,2,〇,フクアリ,"15,716",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第１９節第２日,07/25(日),16:04,札幌,1-2,横浜FC,1,2,2,●,札幌ド,"26,875",スカパースカチャン／ｅ２スカチャン／ＢＳ,0
2010,Ｊ２,第２０節第１日,07/30(金),19:33,岡山,1-0,札幌,1,0,1,●,カンスタ,"11,290",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２１節第１日,08/07(土),15:03,札幌,2-0,北九州,2,0,1,〇,札幌厚別,"6,703",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第２２節第２日,08/15(日),19:33,東京Ｖ,2-1,札幌,2,1,1,●,国立,"7,405",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２３節第１日,08/21(土),13:03,札幌,0-0,栃木,0,0,0,△,札幌厚別,"6,817",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第２４節第２日,08/29(日),19:04,愛媛,2-1,札幌,2,1,1,●,ニンスタ,"4,146",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２５節第１日,09/11(土),16:04,大分,1-2,札幌,1,2,2,〇,鴨池,"4,594",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第２６節第２日,09/19(日),13:03,札幌,0-1,鳥栖,0,1,2,●,札幌厚別,"6,888",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２７節第１日,09/23(木・祝),19:04,柏,5-1,札幌,5,1,1,●,柏,"6,916",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２８節第１日,09/26(日),13:03,札幌,0-0,岐阜,0,0,0,△,札幌厚別,"5,429",スカパースカチャン／ｅ２スカチャン,1
2011,Ｊ２,第１９節第１日,07/02(土),18:03,栃木,1-1,札幌,1,1,0,△,栃木グ,"4,736",スカパー／ｅ２／スカパー光／とちぎテレビ,1
2011,Ｊ２,第２節第２日,07/06(水),19:03,札幌,0-0,北九州,0,0,0,△,札幌ド,"7,811",スカパー／ｅ２／スカパー光,1
2011,Ｊ２,第２０節第１日,07/09(土),14:05,札幌,3-1,愛媛,3,1,1,〇,札幌厚別,"5,350",スカパー／ｅ２／スカパー光／ＮＨＫ札幌／ひかりＴＶ,3
2011,Ｊ２,第２１節第１日,07/16(土),14:04,札幌,2-1,水戸,2,1,1,〇,札幌厚別,"4,609",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２２節第１日,07/23(土),19:03,千葉,2-0,札幌,2,0,1,●,フクアリ,"10,989",スカパー／ｅ２（録）／スカパー光,0
2011,Ｊ２,第２３節第２日,07/31(日),15:03,札幌,1-0,岐阜,1,0,1,〇,札幌厚別,"8,904",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第２４節第２日,08/14(日),18:04,富山,1-2,札幌,1,2,2,〇,富山,"3,939",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第３節第４日,08/17(水),19:03,札幌,4-0,千葉,4,0,1,〇,札幌ド,"11,765",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第２５節第１日,08/21(日),13:03,札幌,2-1,京都,2,1,1,〇,函館,"6,310",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２６節第１日,08/26(金),19:33,岡山,1-0,札幌,1,0,1,●,カンスタ,"6,759",スカパー／ｅ２／スカパー光／ひかりＴＶ,0
2011,Ｊ２,第４節第３日,09/03(土),18:04,水戸,1-2,札幌,1,2,2,〇,Ｋｓスタ,"2,748",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第２７節第２日,09/11(日),13:04,札幌,1-0,栃木,1,0,1,〇,札幌厚別,"10,110",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２８節第１日,09/17(土),18:03,北九州,0-3,札幌,0,3,2,〇,本城,"4,693",スカパー／ｅ２（録）／スカパー光,3
2011,Ｊ２,第５節第２日,09/21(水),19:03,札幌,4-2,東京Ｖ,4,2,1,〇,札幌ド,"11,368",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２９節第２日,09/24(土),13:03,札幌,0-0,徳島,0,0,0,△,札幌厚別,"10,215",スカパー／ｅ２／スカパー光,1
2012,Ｊ１,第１７節第１日,07/07(土),14:03,札幌,0-1,新潟,0,1,2,●,札幌厚別,"7,673",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第１８節第１日,07/14(土),19:05,磐田,4-1,札幌,4,1,1,●,ヤマハ,"11,367",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第１９節第１日,07/28(土),16:04,札幌,2-1,名古屋,2,1,1,〇,札幌厚別,"8,360",スカパー／ｅ２／スカパー光,3
2012,Ｊ１,第２０節第１日,08/04(土),19:04,Ｃ大阪,4-0,札幌,4,0,1,●,金鳥スタ,"8,226",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第２１節第１日,08/11(土),14:03,札幌,2-1,仙台,2,1,1,〇,札幌ド,"11,945",スカパー／ｅ２／スカパー光,3
2012,Ｊ１,第２２節第１日,08/18(土),14:03,札幌,2-4,神戸,2,4,2,●,札幌厚別,"8,117",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第２３節第１日,08/25(土),19:04,Ｇ大阪,7-2,札幌,7,2,1,●,万博,"15,056",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第２４節第１日,09/01(土),14:03,札幌,0-2,清水,0,2,2,●,札幌ド,"10,783",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第２５節第１日,09/15(土),19:04,柏,3-1,札幌,3,1,1,●,柏,"10,445",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第２６節第１日,09/22(土・祝),14:02,札幌,0-5,大宮,0,5,2,●,札幌厚別,"7,474",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第２７節第１日,09/29(土),19:04,川崎Ｆ,1-0,札幌,1,0,1,●,等々力,"20,909",スカパー／ｅ２／スカパー光,0
2013,Ｊ２,第２２節第１日,07/03(水),19:04,徳島,1-0,札幌,1,0,1,●,鳴門大塚,"1,875",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第２３節第１日,07/07(日),14:03,札幌,3-0,福岡,3,0,1,〇,札幌厚別,"6,257",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２４節第１日,07/14(日),18:03,東京Ｖ,2-1,札幌,2,1,1,●,味スタ,"5,753",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第２５節第１日,07/20(土),18:03,松本,2-4,札幌,2,4,2,〇,松本,"11,019",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２６節第１日,07/27(土),14:03,札幌,3-0,鳥取,3,0,1,〇,札幌ド,"12,696",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２７節第１日,08/04(日),18:04,富山,3-1,札幌,3,1,1,●,富山,"4,071",スカパー！／スカパー！プレミアムサービス,0
