年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2013,Ｊ２,第２８節第１日,08/11(日),15:03,札幌,2-0,横浜FC,2,0,1,〇,札幌厚別,"8,756",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２９節第１日,08/18(日),18:03,Ｇ大阪,3-0,札幌,3,0,1,●,万博,"12,449",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第３０節第１日,08/21(水),19:03,札幌,3-0,愛媛,3,0,1,〇,札幌厚別,"5,664",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第３１節第１日,08/25(日),18:03,水戸,1-3,札幌,1,3,2,〇,Ｋｓスタ,"5,609",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第３２節第１日,09/01(日),14:04,札幌,2-2,岡山,2,2,0,△,札幌厚別,"6,792",スカパー！／スカパー！プレミアムサービス,1
2013,Ｊ２,第３３節第１日,09/15(日),18:03,栃木,4-3,札幌,4,3,1,●,栃木グ,"4,340",スカパー！／スカパー！プレミアムサービス／とちぎテレビ,0
2013,Ｊ２,第３４節第１日,09/22(日),13:03,札幌,1-0,長崎,1,0,1,〇,札幌厚別,"7,618",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第３５節第１日,09/29(日),15:03,熊本,2-1,札幌,2,1,1,●,うまスタ,"6,051",スカパー！／スカパー！プレミアムサービス,0
2014,Ｊ２,第２１節第１日,07/05(土),18:04,長崎,0-1,札幌,0,1,2,〇,長崎県立,"4,290",スカパー！／スカパー！プレミアムサービス,3
2014,Ｊ２,第２２節第１日,07/20(日),14:03,札幌,1-1,大分,1,1,0,△,札幌ド,"20,633",スカパー！／スカパー！プレミアムサービス,1
2014,Ｊ２,第２３節第１日,07/26(土),19:04,愛媛,2-3,札幌,2,3,2,〇,ニンスタ,"5,017",スカパー！／スカパー！プレミアムサービス,3
2014,Ｊ２,第２４節第１日,07/30(水),19:03,札幌,0-1,横浜FC,0,1,2,●,札幌ド,"13,719",スカパー！／スカパー！プレミアムサービス,0
2014,Ｊ２,第２５節第１日,08/03(日),18:03,北九州,2-0,札幌,2,0,1,●,本城,"2,493",スカパー！／スカパー！プレミアムサービス,0
2014,Ｊ２,第２６節第１日,08/10(日),14:03,札幌,0-1,京都,0,1,2,●,札幌ド,"12,212",スカパー！／スカパー！プレミアムサービス／札幌テレビ,0
2014,Ｊ２,第２７節第１日,08/17(日),18:04,山形,2-1,札幌,2,1,1,●,ＮＤスタ,"6,402",スカパー！／スカパー！プレミアムサービス,0
2014,Ｊ２,第２８節第２日,08/25(月),19:03,札幌,1-1,栃木,1,1,0,△,札幌ド,"8,797",スカパー！／スカパー！プレミアムサービス,1
2014,Ｊ２,第２９節第１日,08/31(日),19:03,熊本,0-2,札幌,0,2,2,〇,うまスタ,"5,625",スカパー！／スカパー！プレミアムサービス,3
2014,Ｊ２,第３０節第１日,09/06(土),19:03,札幌,2-1,長崎,2,1,1,〇,札幌ド,"9,123",スカパー！／スカパー！プレミアムサービス,3
2014,Ｊ２,第３１節第１日,09/14(日),19:05,岐阜,1-1,札幌,1,1,0,△,長良川,"10,580",スカパー！／スカパー！プレミアムサービス／岐阜放送,1
2014,Ｊ２,第３２節第２日,09/20(土),19:34,群馬,3-0,札幌,3,0,1,●,正田スタ,"5,597",スカパー！／スカパー！プレミアムサービス／群馬テレビ,0
2014,Ｊ２,第３３節第１日,09/23(火・祝),13:03,札幌,3-1,岡山,3,1,1,〇,札幌ド,"12,804",スカパー！／スカパー！プレミアムサービス／ＮＨＫ札幌／ＮＨＫ岡山,3
2014,Ｊ２,第３４節第１日,09/28(日),13:03,松本,1-2,札幌,1,2,2,〇,松本,"13,825",スカパー！／スカパー！プレミアムサービス／信越放送,3
2015,Ｊ２,第２１節第１日,07/04(土),18:03,横浜FC,0-0,札幌,0,0,0,△,ニッパツ,"6,422",スカパー！／スカパー！プレミアムサービス,1
2015,Ｊ２,第２２節第１日,07/08(水),19:04,札幌,2-3,大宮,2,3,2,●,札幌ド,"9,140",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第２３節第１日,07/12(日),19:04,Ｃ大阪,3-1,札幌,3,1,1,●,金鳥スタ,"9,602",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第２４節第１日,07/18(土),14:04,札幌,0-1,讃岐,0,1,2,●,札幌ド,"8,120",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第２５節第１日,07/22(水),19:03,北九州,1-1,札幌,1,1,0,△,本城,"2,419",スカパー！／スカパー！プレミアムサービス,1
2015,Ｊ２,第２６節第１日,07/26(日),14:03,札幌,0-1,愛媛,0,1,2,●,札幌ド,"17,767",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第２７節第１日,08/01(土),18:04,京都,2-0,札幌,2,0,1,●,西京極,"7,096",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第２８節第１日,08/08(土),18:04,長崎,0-0,札幌,0,0,0,△,長崎県立,"8,854",スカパー！／スカパー！プレミアムサービス,1
2015,Ｊ２,第２９節第１日,08/15(土),14:03,札幌,0-0,岡山,0,0,0,△,札幌ド,"10,902",スカパー！／スカパー！プレミアムサービス／札幌テレビ,1
2015,Ｊ２,第３０節第１日,08/23(日),18:05,熊本,1-1,札幌,1,1,0,△,うまスタ,"6,532",スカパー！／スカパー！プレミアムサービス,1
2015,Ｊ２,第３１節第１日,09/12(土),13:05,札幌,2-0,横浜FC,2,0,1,〇,札幌ド,"10,840",スカパー！／スカパー！プレミアムサービス,3
2015,Ｊ２,第３２節第１日,09/20(日),13:05,福岡,2-1,札幌,2,1,1,●,レベスタ,"13,873",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第３３節第１日,09/23(水・祝),13:03,札幌,1-2,岐阜,1,2,2,●,札幌厚別,"8,761",スカパー！／スカパー！プレミアムサービス,0
2015,Ｊ２,第３４節第１日,09/27(日),13:03,札幌,0-0,群馬,0,0,0,△,札幌ド,"11,570",スカパー！／スカパー！プレミアムサービス,1
2016,Ｊ２,第２１節第１日,07/03(日),14:03,札幌,5-2,横浜FC,5,2,1,〇,函館,"10,442",スカパー！／スカパー！プレミアムサービス／テレビ北海道,3
2016,Ｊ２,第２２節第１日,07/09(土),19:04,Ｃ大阪,0-0,札幌,0,0,0,△,金鳥スタ,"13,443",スカパー！／スカパー！プレミアムサービス,1
2016,Ｊ２,第２３節第１日,07/16(土),19:03,岡山,0-0,札幌,0,0,0,△,Ｃスタ,"13,304",スカパー！／スカパー！プレミアムサービス／テレビせとうち,1
2016,Ｊ２,第２４節第１日,07/20(水),19:04,札幌,1-0,松本,1,0,1,〇,札幌ド,"12,901",スカパー！／スカパー！プレミアムサービス／北海道放送（録）,3
2016,Ｊ２,第２５節第２日,07/25(月),19:03,札幌,5-0,岐阜,5,0,1,〇,札幌ド,"11,301",スカパー！／スカパー！プレミアムサービス／北海道文化放送（録）,3
2016,Ｊ２,第２６節第１日,07/31(日),19:03,山口,1-2,札幌,1,2,2,〇,維新公園,"7,510",スカパー！／スカパー！プレミアムサービス,3
2016,Ｊ２,第２７節第１日,08/07(日),14:03,札幌,3-2,清水,3,2,1,〇,札幌ド,"17,576",スカパー！／スカパー！プレミアムサービス／テレビ北海道,3
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:03,横浜FC,1-0,札幌,1,0,1,●,ニッパツ,"6,843",スカパー！／スカパー！プレミアムサービス,0
2016,Ｊ２,第２９節第１日,08/14(日),13:33,札幌,3-1,山形,3,1,1,〇,札幌ド,"20,225",スカパー！／スカパー！プレミアムサービス／テレビ北海道,3
2016,Ｊ２,第３０節第１日,08/21(日),19:04,京都,0-0,札幌,0,0,0,△,西京極,"7,464",スカパー！／スカパー！プレミアムサービス,1
2016,Ｊ２,第１２節第３日,08/25(木),19:05,札幌,1-0,熊本,1,0,1,〇,札幌ド,"9,834",スカパー！／スカパー！プレミアムサービス／北海道文化放送（録）,3
2016,Ｊ２,第３１節第１日,09/11(日),12:07,札幌,3-1,群馬,3,1,1,〇,札幌厚別,"9,056",スカパー！／スカパー！プレミアムサービス／札幌テレビ,3
2016,Ｊ２,第３２節第１日,09/18(日),19:33,長崎,0-0,札幌,0,0,0,△,トラスタ,"6,615",スカパー！／スカパー！プレミアムサービス,1
2016,Ｊ２,第３３節第２日,09/26(月),19:04,札幌,3-2,町田,3,2,1,〇,札幌ド,"11,914",スカパー！／スカパー！プレミアムサービス／テレビ北海道（録）,3
2017,Ｊ１,第１７節第１日,07/01(土),14:03,札幌,1-0,清水,1,0,1,〇,札幌ド,"12,890",ＤＡＺＮ／ＮＨＫ札幌,3
2017,Ｊ１,第１８節第１日,07/08(土),19:03,大宮,2-2,札幌,2,2,0,△,ＮＡＣＫ,"11,863",ＤＡＺＮ,1
2017,Ｊ１,第１９節第１日,07/29(土),14:03,札幌,2-0,浦和,2,0,1,〇,札幌ド,"33,353",ＤＡＺＮ／北海道文化放送,3
2017,Ｊ１,第２０節第１日,08/05(土),19:04,Ｃ大阪,3-1,札幌,3,1,1,●,金鳥スタ,"14,208",ＤＡＺＮ,0
2017,Ｊ１,第２１節第１日,08/09(水),19:03,札幌,0-2,横浜FM,0,2,2,●,札幌ド,"17,350",ＤＡＺＮ,0
2017,Ｊ１,第２２節第２日,08/13(日),13:03,札幌,1-1,甲府,1,1,0,△,札幌ド,"19,561",ＤＡＺＮ／テレビ北海道,1
2017,Ｊ１,第２３節第１日,08/19(土),19:03,川崎Ｆ,2-1,札幌,2,1,1,●,等々力,"18,342",ＤＡＺＮ,0
2017,Ｊ１,第２４節第１日,08/26(土),14:02,札幌,1-0,仙台,1,0,1,〇,札幌厚別,"9,535",ＤＡＺＮ／北海道テレビ放送,3
2017,Ｊ１,第２５節第１日,09/09(土),13:03,札幌,2-1,磐田,2,1,1,〇,札幌ド,"19,063",ＤＡＺＮ／北海道文化放送,3
2017,Ｊ１,第２６節第１日,09/16(土),19:03,神戸,2-0,札幌,2,0,1,●,神戸ユ,"7,911",ＤＡＺＮ／サンテレビ／テレビ北海道,0
2017,Ｊ１,第２７節第１日,09/23(土・祝),14:03,札幌,2-2,新潟,2,2,0,△,札幌ド,"17,621",ＤＡＺＮ／ＮＨＫ札幌,1
2017,Ｊ１,第２８節第１日,09/30(土),16:03,広島,1-1,札幌,1,1,0,△,Ｅスタ,"18,065",ＤＡＺＮ,1
2018,Ｊ１,第１６節第１日,07/18(水),19:03,札幌,1-2,川崎Ｆ,1,2,2,●,札幌厚別,"10,711",ＤＡＺＮ／北海道放送,0
2018,Ｊ１,第１７節第１日,07/22(日),19:03,札幌,0-0,磐田,0,0,0,△,札幌厚別,"10,723",ＤＡＺＮ／ＮＨＫ　ＢＳ１,1
2018,Ｊ１,第１９節第１日,08/01(水),19:03,長崎,2-3,札幌,2,3,2,〇,トラスタ,"6,579",ＤＡＺＮ,3
2018,Ｊ１,第２０節第１日,08/05(日),14:03,札幌,1-2,柏,1,2,2,●,札幌ド,"26,805",ＤＡＺＮ／札幌テレビ放送,0
2018,Ｊ１,第２１節第２日,08/11(土・祝),13:03,札幌,1-1,Ｃ大阪,1,1,0,△,札幌ド,"21,614",ＤＡＺＮ／北海道文化放送,1
2018,Ｊ１,第２２節第１日,08/15(水),19:03,Ｇ大阪,1-1,札幌,1,1,0,△,吹田Ｓ,"21,203",ＤＡＺＮ,1
2018,Ｊ１,第２３節第１日,08/19(日),13:04,札幌,3-2,FC東京,3,2,1,〇,札幌ド,"18,521",ＤＡＺＮ／テレビ北海道,3
2018,Ｊ１,第２４節第２日,08/25(土),19:03,清水,1-2,札幌,1,2,2,〇,アイスタ,"13,649",ＤＡＺＮ／ＮＨＫ　ＢＳ１,3
2018,Ｊ１,第２５節第２日,09/01(土),14:04,札幌,3-1,神戸,3,1,1,〇,札幌ド,"32,475",ＤＡＺＮ／ＮＨＫ札幌,3
2018,Ｊ１,第２６節第２日,09/15(土),19:03,川崎Ｆ,7-0,札幌,7,0,1,●,等々力,"22,522",ＤＡＺＮ,0
2018,Ｊ１,第２７節第３日,09/23(日・祝),19:03,札幌,0-2,鹿島,0,2,2,●,札幌ド,"21,074",ＤＡＺＮ／北海道テレビ（録）,0
2018,Ｊ１,第２８節第１日,09/29(土),13:03,札幌,2-1,鳥栖,2,1,1,〇,札幌ド,"16,195",ＤＡＺＮ／北海道文化放送,3
2019,Ｊ１,第１８節第２日,07/07(日),14:03,札幌,1-1,松本,1,1,0,△,札幌ド,"18,663",ＤＡＺＮ／テレビ北海道,1
2019,Ｊ１,第１９節第１日,07/13(土),19:03,大分,2-1,札幌,2,1,1,●,昭和電ド,"12,384",ＤＡＺＮ,0
2019,Ｊ１,第２０節第１日,07/20(土),13:03,札幌,5-2,湘南,5,2,1,〇,札幌厚別,"9,055",ＤＡＺＮ／札幌テレビ（録）,3
2019,Ｊ１,第２１節第２日,08/03(土),19:04,広島,1-0,札幌,1,0,1,●,Ｅスタ,"12,672",ＤＡＺＮ／ＮＨＫ　ＢＳ１,0
2019,Ｊ１,第２２節第１日,08/10(土),14:05,札幌,1-1,浦和,1,1,0,△,札幌ド,"35,531",ＤＡＺＮ,1
2019,Ｊ１,第２３節第１日,08/17(土),18:03,清水,0-8,札幌,0,8,2,〇,アイスタ,"14,340",ＤＡＺＮ,3
2019,Ｊ１,第２４節第２日,08/24(土),13:03,札幌,1-1,FC東京,1,1,0,△,札幌ド,"19,454",ＤＡＺＮ／北海道テレビ,1
2019,Ｊ１,第２５節第２日,08/31(土),19:04,神戸,2-3,札幌,2,3,2,〇,ノエスタ,"20,825",ＤＡＺＮ,3
2019,Ｊ１,第２６節第２日,09/14(土),14:03,札幌,1-3,仙台,1,3,2,●,札幌厚別,"11,254",ＤＡＺＮ／ＮＨＫ札幌,0
2019,Ｊ１,第２７節第１日,09/28(土),15:06,鹿島,1-1,札幌,1,1,0,△,カシマ,"19,314",ＤＡＺＮ,1
2020,Ｊ１,第２節第１日,07/04(土),18:03,横浜FC,1-2,札幌,1,2,2,〇,ニッパツ,0,ＤＡＺＮ,3
2020,Ｊ１,第３節第１日,07/08(水),19:03,鹿島,0-2,札幌,0,2,2,〇,カシマ,0,ＤＡＺＮ／ＮＨＫ水戸,3
2020,Ｊ１,第４節第２日,07/12(日),19:03,湘南,0-0,札幌,0,0,0,△,ＢＭＷス,"3,327",ＤＡＺＮ,1
2020,Ｊ１,第５節第１日,07/18(土),18:03,仙台,2-2,札幌,2,2,0,△,ユアスタ,"2,597",ＤＡＺＮ,1
2020,Ｊ１,第６節第１日,07/22(水),19:08,札幌,1-1,FC東京,1,1,0,△,札幌ド,"3,151",ＤＡＺＮ／北海道放送,1
2020,Ｊ１,第７節第１日,07/26(日),13:08,札幌,3-1,横浜FM,3,1,1,〇,札幌ド,"3,305",ＤＡＺＮ／ＮＨＫ札幌,3
2020,Ｊ１,第８節第２日,08/02(日),14:03,札幌,2-3,神戸,2,3,2,●,札幌ド,"4,675",ＤＡＺＮ／札幌テレビ,0
2020,Ｊ１,第９節第１日,08/08(土),18:03,清水,3-1,札幌,3,1,1,●,アイスタ,"3,981",ＤＡＺＮ,0
2020,Ｊ１,第１０節第１日,08/15(土),14:03,札幌,1-6,川崎Ｆ,1,6,2,●,札幌ド,"4,601",ＤＡＺＮ／札幌テレビ,0
2020,Ｊ１,第１１節第１日,08/19(水),19:33,札幌,1-1,大分,1,1,0,△,札幌厚別,"2,039",ＤＡＺＮ,1
2020,Ｊ１,第２９節第１日,08/26(水),19:33,横浜FM,4-1,札幌,4,1,1,●,日産ス,"4,181",ＤＡＺＮ,0
2020,Ｊ１,第１３節第１日,08/29(土),19:03,札幌,0-0,名古屋,0,0,0,△,札幌ド,"3,479",ＤＡＺＮ／ＮＨＫ　ＢＳ１,1
2020,Ｊ１,第１４節第１日,09/05(土),14:05,札幌,0-2,広島,0,2,2,●,札幌厚別,"2,104",ＤＡＺＮ,0
2020,Ｊ１,第１５節第１日,09/09(水),19:33,Ｃ大阪,2-0,札幌,2,0,1,●,ヤンマー,"3,140",ＤＡＺＮ,0
2020,Ｊ１,第１６節第２日,09/13(日),13:08,札幌,3-4,浦和,3,4,2,●,札幌ド,"4,449",ＤＡＺＮ／ＮＨＫ札幌,0
2020,Ｊ１,第１２節第３日,09/16(水),19:33,鳥栖,0-2,札幌,0,2,2,〇,駅スタ,"2,592",ＤＡＺＮ,3
2020,Ｊ１,第１７節第１日,09/19(土),14:03,札幌,0-1,Ｇ大阪,0,1,2,●,札幌厚別,"2,749",ＤＡＺＮ,0
2020,Ｊ１,第１８節第１日,09/23(水),18:33,札幌,0-1,柏,0,1,2,●,札幌ド,"3,002",ＤＡＺＮ／北海道放送,0
2020,Ｊ１,第１９節第１日,09/26(土),19:03,神戸,4-0,札幌,4,0,1,●,ノエスタ,"5,335",ＤＡＺＮ,0
2021,Ｊ１,第２１節第４日,07/04(日),13:08,札幌,1-0,徳島,1,0,1,〇,札幌厚別,"4,444",ＤＡＺＮ／ＮＨＫ札幌／ＮＨＫ徳島,3
2021,Ｊ１,第２２節第２日,07/10(土),19:03,仙台,1-1,札幌,1,1,0,△,ユアスタ,"7,885",ＤＡＺＮ,1
2021,Ｊ１,第４節第３日,07/30(金),18:03,札幌,0-2,Ｇ大阪,0,2,2,●,札幌厚別,"3,845",ＤＡＺＮ,0
2021,Ｊ１,第２３節第１日,08/09(月・休),15:03,札幌,2-1,浦和,2,1,1,〇,札幌ド,"8,330",ＤＡＺＮ,3
2021,Ｊ１,第２４節第２日,08/14(土),14:03,札幌,3-2,FC東京,3,2,1,〇,札幌ド,"7,437",ＤＡＺＮ／札幌テレビ,3
2021,Ｊ１,第２５節第１日,08/21(土),19:03,大分,1-1,札幌,1,1,0,△,昭和電ド,"5,188",ＤＡＺＮ,1
2021,Ｊ１,第２６節第１日,08/25(水),19:03,札幌,0-2,名古屋,0,2,2,●,札幌厚別,"3,106",ＤＡＺＮ,0
2021,Ｊ１,第２７節第１日,08/28(土),14:01,札幌,0-2,川崎Ｆ,0,2,2,●,札幌ド,"5,610",ＤＡＺＮ／北海道文化放送,0
2021,Ｊ１,第１９節第４日,09/08(水),19:03,札幌,0-3,Ｃ大阪,0,3,2,●,札幌厚別,"3,201",ＤＡＺＮ／札幌テレビ（録）,0
